Classification,Qm,Qmu,Qp,Plag,Afsp,Lf,Pore,PM+Cem
Subarkose,84,65,33,10,22,0,53,33
Quartz arenite,91,107,2,6,0,0,79,15
Subarkose,66,155,5,13,3,0,52,6
Subarkose,126,40,3,12,40,0,30,49
Subarkose,131,64,3,10,23,0,58,11
Arkose,133,42,1,2,54,0,46,22
Arkose,74,72,2,10,64,0,28,50
Arkose,83,75,5,8,39,0,39,51
Quartz arenite,90,75,13,0,0,0,5,117
Quartz arenite,200,80,11,0,0,0,9,0
Quartz arenite,79,115,1,0,0,0,54,51
Subarkose,88,111,4,4,22,0,60,11
Arkose,56,77,3,53,7,0,22,56
Arkose,74,62,1,41,5,0,23,58
Subarkose,105,110,2,11,5,0,43,24
Subarkose,93,56,1,9,2,0,10,129
Quartz arenite,142,60,2,0,0,0,49,47
Quartz arenite,99,94,17,2,1,0,76,11
Quartz arenite,148,73,4,5,1,0,38,18
Subarkose,127,90,1,13,13,0,16,40
Quartz arenite,93,94,36,1,0,2,45,29
Quartz arenite,93,106,9,3,0,0,14,75
Quartz arenite,88,96,35,0,0,0,27,54
Quartz arenite,91,119,8,6,1,0,30,37
Quartz arenite,91,100,20,0,0,0,17,72
Quartz arenite,69,118,23,1,0,0,18,71
Arkose,83,13,3,58,15,0,0,128
Quartz arenite,116,88,34,0,0,12,22,28
Quartz arenite,127,59,11,0,0,0,62,41
Subarkose,130,49,11,7,28,0,37,38
Subarkose,105,108,5,5,17,2,50,8
Subarkose,81,107,15,8,11,1,62,15
Quartz arenite,67,121,39,5,0,0,51,17
Quartz arenite,87,127,12,2,1,0,42,29
Arkose,25,37,3,37,17,0,1,180
Sublitharenite,74,96,28,1,4,18,58,21
Quartz arenite,74,132,21,3,2,3,57,8
Quartz arenite,94,114,11,0,0,2,16,29
Quartz arenite,75,135,5,0,0,0,50,35
Quartz arenite,95,132,10,6,0,0,47,10
Quartz arenite,90,118,5,4,1,0,78,4
Quartz arenite,123,34,24,0,1,0,10,59
Quartz arenite,98,123,13,0,0,1,44,21
Quartz arenite,103,90,3,3,0,0,25,76
